Date,No of Persons,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER
2,300,30,1,7.5,2.4,16.07142857,3,15,4.5,21.42857143,1.1,38.57142857,1.7,8.571428571,0,26.78571429,10.5,32.14285714,3.8,52.5,5,235.7142857,7.2,2.142857143,0.1,42.85714286,1.6,964.2857143,10.2,6.428571429,2.5,42.85714286,3.5,52.5,7.7,1071.428571,8.7,235.7142857,10.8,10.71428571,2.6,2.678571429,0.5
3,253,25.3,5.1,6.325,3.2,13.55357143,8,12.65,6.3,18.07142857,5.3,32.52857143,3.7,7.228571429,0,22.58928571,11.6,27.10714286,6.1,44.275,10.5,198.7857143,13.3,1.807142857,0.9,36.14285714,6.1,813.2142857,27.8,5.421428571,3.1,36.14285714,16.4,44.275,12.3,903.5714286,16.9,198.7857143,14.5,9.035714286,3,2.258928571,1
4,306,30.6,4.1,7.65,1.1,16.39285714,1.8,15.3,2.2,21.85714286,3.2,39.34285714,1.4,8.742857143,0,27.32142857,5.7,32.78571429,4.2,53.55,1.2,240.4285714,8.9,2.185714286,0.2,43.71428571,2,983.5714286,16.2,6.557142857,2.2,43.71428571,6.8,53.55,7.6,1092.857143,7.6,240.4285714,8.2,10.92857143,1.1,2.732142857,0.6
5,251,25.1,4.9,6.275,1.3,13.44642857,3.4,12.55,2.1,17.92857143,2.4,32.27142857,1,7.171428571,0,22.41071429,6.7,26.89285714,2.6,43.925,4.7,197.2142857,9,1.792857143,0.4,35.85714286,2.7,806.7857143,16.4,5.378571429,1.9,35.85714286,5.2,43.925,6.1,896.4285714,11.2,197.2142857,7.3,8.964285714,1.5,2.241071429,0.8
6,291,29.1,8.3,7.275,3.3,15.58928571,5.1,14.55,6,20.78571429,6.1,37.41428571,3.3,8.314285714,0,25.98214286,15.5,31.17857143,6.1,50.925,11.9,228.6428571,13.9,2.078571429,1.1,41.57142857,7.8,935.3571429,17.4,6.235714286,3.3,41.57142857,15.6,50.925,13.8,1039.285714,18.5,228.6428571,11.3,10.39285714,5.9,2.598214286,1
7,305,30.5,8,7.625,4.9,16.33928571,6,15.25,5.9,21.78571429,9.6,39.21428571,3.8,8.714285714,0,27.23214286,11.5,32.67857143,6.8,53.375,13.1,239.6428571,13.4,2.178571429,1,43.57142857,4.7,980.3571429,19.4,6.535714286,3.5,43.57142857,11,53.375,13.6,1089.285714,16.6,239.6428571,13.2,10.89285714,5,2.723214286,1
1,262,26.2,6.7,6.55,3.4,14.03571429,8.4,13.1,5.6,18.71428571,5.3,33.68571429,3.9,7.485714286,0,23.39285714,14.1,28.07142857,6.1,45.85,9,205.8571429,13.8,1.871428571,0.9,37.42857143,4.9,842.1428571,22,5.614285714,3.8,37.42857143,12,45.85,13.8,935.7142857,17.8,205.8571429,15.5,9.357142857,4.9,2.339285714,1
2,299,29.9,8.2,7.475,3.3,16.01785714,6,14.95,6,21.35714286,5.5,38.44285714,3.6,8.542857143,0,26.69642857,15.2,32.03571429,8.5,52.325,11.3,234.9285714,11,2.135714286,1.2,42.71428571,5.3,961.0714286,20.6,6.407142857,3.4,42.71428571,16.6,52.325,9.7,1067.857143,19.8,234.9285714,15.1,10.67857143,4.5,2.669642857,1
3,306,30.6,5.3,7.65,3.3,16.39285714,4.2,15.3,8.2,21.85714286,9.1,39.34285714,3.3,8.742857143,0,27.32142857,14.6,32.78571429,6.4,53.55,12.4,240.4285714,13.9,2.185714286,1.1,43.71428571,7.3,983.5714286,23.6,6.557142857,3.9,43.71428571,8,53.55,8.6,1092.857143,17.3,240.4285714,12.6,10.92857143,4.7,2.732142857,1
4,259,25.9,3.8,6.475,1.9,13.875,2.7,12.95,1.5,18.5,2.3,33.3,1,7.4,0,23.125,7.8,27.75,3,45.325,3.1,203.5,8.5,1.85,0.3,37,2.1,832.5,10.4,5.55,1.2,37,7.9,45.325,7.2,925,9.1,203.5,7.3,9.25,2.5,2.3125,0.1
5,286,28.6,6.6,7.15,3.6,15.32142857,6.2,14.3,5.5,20.42857143,6.5,36.77142857,3.4,8.171428571,0,25.53571429,12.2,30.64285714,7.5,50.05,12.8,224.7142857,12.8,2.042857143,0.7,40.85714286,4.3,919.2857143,22.4,6.128571429,3.7,40.85714286,12.7,50.05,12.2,1021.428571,14,224.7142857,12.9,10.21428571,4.9,2.553571429,1
6,278,27.8,5.5,6.95,3.7,14.89285714,5.4,13.9,9.3,19.85714286,9.6,35.74285714,3.9,7.942857143,0,24.82142857,12.6,29.78571429,7.7,48.65,10.1,218.4285714,11.2,1.985714286,1.2,39.71428571,5.4,893.5714286,23,5.957142857,3.5,39.71428571,18.9,48.65,10.1,992.8571429,21.5,218.4285714,14,9.928571429,5.4,2.482142857,1
7,283,28.3,7.5,7.075,4.4,15.16071429,8.9,14.15,6.5,20.21428571,5.7,36.38571429,3.5,8.085714286,0,25.26785714,12.8,30.32142857,6.5,49.525,11.8,222.3571429,11.5,2.021428571,0.5,40.42857143,7.9,909.6428571,20,6.064285714,3.5,40.42857143,20.3,49.525,10.1,1010.714286,15.8,222.3571429,11.6,10.10714286,5,2.526785714,1
1,299,29.9,6.6,7.475,3.6,16.01785714,8.5,14.95,7.9,21.35714286,7.2,38.44285714,3.2,8.542857143,0,26.69642857,12,32.03571429,7.5,52.325,11.5,234.9285714,11.5,2.135714286,0.5,42.71428571,6.3,961.0714286,18.1,6.407142857,3.5,42.71428571,8.6,52.325,12.9,1067.857143,17,234.9285714,13.5,10.67857143,4.1,2.669642857,1
2,287,28.7,8.4,7.175,4.9,15.375,5.6,14.35,9.1,20.5,5.7,36.9,3.2,8.2,0,25.625,11.4,30.75,8.7,50.225,15.7,225.5,11.8,2.05,1.1,41,4.5,922.5,21,6.15,3.3,41,15.7,50.225,11.4,1025,15.1,225.5,13.5,10.25,5.4,2.5625,1
3,280,28,5.5,7,4.4,15,4.3,14,8.4,20,6.4,36,3,8,0,25,11.4,30,6.5,49,13,220,12.4,2,0.5,40,5.8,900,24.9,6,3.4,40,17.7,49,10.3,1000,16.8,220,14.7,10,3.5,2.5,1
4,262,26.2,8.5,6.55,3.4,14.03571429,4.8,13.1,7.4,18.71428571,6.5,33.68571429,3.8,7.485714286,0,23.39285714,11,28.07142857,6.2,45.85,12.2,205.8571429,12.3,1.871428571,0.8,37.42857143,6.5,842.1428571,23.7,5.614285714,3.4,37.42857143,15.4,45.85,10,935.7142857,19.9,205.8571429,15.7,9.357142857,5.4,2.339285714,1
5,269,26.9,6.9,6.725,4.3,14.41071429,4.7,13.45,8,19.21428571,9.7,34.58571429,3.7,7.685714286,0,24.01785714,12.1,28.82142857,6,47.075,15.6,211.3571429,12,1.921428571,1.2,38.42857143,6.6,864.6428571,26.4,5.764285714,3.7,38.42857143,15.6,47.075,14.2,960.7142857,21.7,211.3571429,11.4,9.607142857,4.9,2.401785714,1
6,287,28.7,8.4,7.175,4.7,15.375,8.5,14.35,8.9,20.5,9,36.9,3,8.2,0,25.625,13,30.75,8.7,50.225,14.1,225.5,11.9,2.05,1.1,41,6.8,922.5,21.3,6.15,3,41,8.2,50.225,10.7,1025,18.2,225.5,15,10.25,3.7,2.5625,1
7,277,27.7,5.6,6.925,3.5,14.83928571,4.8,13.85,8.2,19.78571429,9.6,35.61428571,3.4,7.914285714,0,24.73214286,12.4,29.67857143,6.7,48.475,13.4,217.6428571,12.8,1.978571429,1,39.57142857,4.9,890.3571429,20.2,5.935714286,3.2,39.57142857,10.8,48.475,12.9,989.2857143,19.6,217.6428571,13.6,9.892857143,3.9,2.473214286,1
1,301,30.1,5.5,7.525,3,16.125,6,15.05,9.2,21.5,5.7,38.7,3.8,8.6,0,26.875,14,32.25,6.2,52.675,13.2,236.5,11.9,2.15,1.1,43,4.6,967.5,23.5,6.45,3.4,43,15.8,52.675,12.4,1075,21.8,236.5,14.1,10.75,5.6,2.6875,1
2,291,29.1,8.7,7.275,3,15.58928571,6.7,14.55,6.1,20.78571429,8.8,37.41428571,3.4,8.314285714,0,25.98214286,15.6,31.17857143,8.7,50.925,12,228.6428571,13.6,2.078571429,0.9,41.57142857,4.4,935.3571429,24.1,6.235714286,3.6,41.57142857,20.5,50.925,11.8,1039.285714,20.7,228.6428571,15.1,10.39285714,5.4,2.598214286,1
3,298,29.8,6.4,7.45,4.8,15.96428571,8.4,14.9,6.5,21.28571429,8.2,38.31428571,3.3,8.514285714,0,26.60714286,11.7,31.92857143,7.4,52.15,13.8,234.1428571,11,2.128571429,0.5,42.57142857,7.6,957.8571429,19,6.385714286,3.8,42.57142857,17.6,52.15,11.6,1064.285714,17.7,234.1428571,11.5,10.64285714,5.4,2.660714286,1
4,253,25.3,1.6,6.325,2,13.55357143,1.9,12.65,1.8,18.07142857,1.7,32.52857143,2.7,7.228571429,0,22.58928571,6.9,27.10714286,5.1,44.275,8.6,198.7857143,6.3,1.807142857,0.1,36.14285714,3.8,813.2142857,14,5.421428571,1.1,36.14285714,3.3,44.275,0.7,903.5714286,12.7,198.7857143,8.3,9.035714286,2.7,2.258928571,0.1
5,257,25.7,3.8,6.425,1.7,13.76785714,2.7,12.85,4.3,18.35714286,4.9,33.04285714,1.9,7.342857143,0,22.94642857,10.3,27.53571429,4.1,44.975,3.2,201.9285714,10.9,1.835714286,0.3,36.71428571,2,826.0714286,13.2,5.507142857,2.6,36.71428571,4.6,44.975,3.2,917.8571429,8.3,201.9285714,6.2,9.178571429,1.1,2.294642857,0
6,267,26.7,1.4,6.675,2.8,14.30357143,1.5,13.35,2.1,19.07142857,4.9,34.32857143,1.3,7.628571429,0,23.83928571,9.6,28.60714286,4.2,46.725,6.2,209.7857143,5.7,1.907142857,0.3,38.14285714,2.3,858.2142857,15.9,5.721428571,1.8,38.14285714,5.7,46.725,0.2,953.5714286,10.8,209.7857143,8.8,9.535714286,1.9,2.383928571,0.4
7,263,26.3,2.4,6.575,2.2,14.08928571,3.3,13.15,1.8,18.78571429,1,33.81428571,2,7.514285714,0,23.48214286,9.1,28.17857143,2.6,46.025,2,206.6428571,7.7,1.878571429,0.2,37.57142857,2.8,845.3571429,10.9,5.635714286,2.8,37.57142857,7.3,46.025,7.8,939.2857143,6.4,206.6428571,6.2,9.392857143,2.2,2.348214286,0.6
1,289,28.9,6.6,7.225,3.8,15.48214286,6.9,14.45,9,20.64285714,6.7,37.15714286,3.2,8.257142857,0,25.80357143,12.9,30.96428571,6.2,50.575,10.5,227.0714286,12.3,2.064285714,0.6,41.28571429,6.4,928.9285714,17.8,6.192857143,3.4,41.28571429,19.5,50.575,10.4,1032.142857,20.2,227.0714286,13.7,10.32142857,5.8,2.580357143,1
2,301,30.1,8.5,7.525,3.9,16.125,5.4,15.05,5.1,21.5,6.2,38.7,3.8,8.6,0,26.875,11.6,32.25,6,52.675,9.5,236.5,11.3,2.15,0.5,43,4.7,967.5,18.7,6.45,3.5,43,16.4,52.675,9.6,1075,15,236.5,13.9,10.75,5.4,2.6875,1
3,251,25.1,5.6,6.275,4.5,13.44642857,7.5,12.55,5.2,17.92857143,7.8,32.27142857,3.9,7.171428571,0,22.41071429,15.7,26.89285714,8.4,43.925,9.7,197.2142857,12.2,1.792857143,0.8,35.85714286,4.9,806.7857143,17.6,5.378571429,3.7,35.85714286,12.7,43.925,9.8,896.4285714,15,197.2142857,13.5,8.964285714,4.6,2.241071429,1
4,259,25.9,4.1,6.475,1.3,13.875,2,12.95,2.6,18.5,3.6,33.3,1.5,7.4,0,23.125,4.8,27.75,3.5,45.325,1.9,203.5,6.9,1.85,0.1,37,1.7,832.5,11.2,5.55,2.3,37,3.3,45.325,1.1,925,12,203.5,6.6,9.25,2.4,2.3125,0.6
5,264,26.4,7,6.6,4,14.14285714,6.2,13.2,9.9,18.85714286,8.8,33.94285714,3,7.542857143,0,23.57142857,14.4,28.28571429,6.6,46.2,10.1,207.4285714,12,1.885714286,0.9,37.71428571,7.4,848.5714286,17.8,5.657142857,3.9,37.71428571,13.8,46.2,8.6,942.8571429,20.7,207.4285714,12.2,9.428571429,3.1,2.357142857,1
6,250,25,3,6.25,2.6,13.39285714,2.4,12.5,2.7,17.85714286,1.9,32.14285714,2.8,7.142857143,0,22.32142857,8.5,26.78571429,4.3,43.75,5.2,196.4285714,6.2,1.785714286,0.4,35.71428571,3.6,803.5714286,10.3,5.357142857,1.1,35.71428571,7.1,43.75,7,892.8571429,8.3,196.4285714,7.6,8.928571429,1.1,2.232142857,0.9
7,305,30.5,7.8,7.625,4.9,16.33928571,7.1,15.25,7.8,21.78571429,9.5,39.21428571,3.6,8.714285714,0,27.23214286,13,32.67857143,7.8,53.375,12.2,239.6428571,12.9,2.178571429,1.2,43.57142857,6.1,980.3571429,18.6,6.535714286,3.7,43.57142857,18.3,53.375,14,1089.285714,20.2,239.6428571,13.4,10.89285714,4.6,2.723214286,1
1,301,30.1,1.2,7.525,2,16.125,1.9,15.05,4.6,21.5,3.4,38.7,1.2,8.6,0,26.875,6.9,32.25,5,52.675,8.6,236.5,7.5,2.15,0.3,43,3.5,967.5,14,6.45,1.7,43,3.6,52.675,5.8,1075,9,236.5,6.9,10.75,1.3,2.6875,0.8
2,256,25.6,1.1,6.4,2.2,13.71428571,2.7,12.8,3.3,18.28571429,4.6,32.91428571,1.5,7.314285714,0,22.85714286,5.9,27.42857143,5,44.8,3.5,201.1428571,6.6,1.828571429,0.3,36.57142857,2.9,822.8571429,10,5.485714286,2.8,36.57142857,3.9,44.8,5.5,914.2857143,7.8,201.1428571,9.3,9.142857143,2.8,2.285714286,0.2
3,286,28.6,5.4,7.15,3.3,15.32142857,6.5,14.3,8.5,20.42857143,5.8,36.77142857,3.3,8.171428571,0,25.53571429,13.8,30.64285714,6.5,50.05,9.2,224.7142857,12.7,2.042857143,1,40.85714286,5.6,919.2857143,25,6.128571429,3.7,40.85714286,20.3,50.05,11.1,1021.428571,15,224.7142857,12.1,10.21428571,4.1,2.553571429,1
4,257,25.7,7,6.425,4.3,13.76785714,7.6,12.85,7.6,18.35714286,7.3,33.04285714,3.7,7.342857143,0,22.94642857,11.8,27.53571429,6,44.975,11.7,201.9285714,13,1.835714286,1.2,36.71428571,6.6,826.0714286,25.5,5.507142857,3.9,36.71428571,10.2,44.975,8.2,917.8571429,17.1,201.9285714,12.8,9.178571429,4.3,2.294642857,1
5,251,25.1,6,6.275,3.1,13.44642857,5.9,12.55,7.5,17.92857143,8.3,32.27142857,3.2,7.171428571,0,22.41071429,12.2,26.89285714,8.9,43.925,12.7,197.2142857,11.8,1.792857143,1.2,35.85714286,6.3,806.7857143,25.4,5.378571429,3,35.85714286,19.2,43.925,13.8,896.4285714,18.1,197.2142857,11.9,8.964285714,4.6,2.241071429,1
6,271,27.1,4.8,6.775,2.9,14.51785714,2.1,13.55,2.6,19.35714286,1.9,34.84285714,1.6,7.742857143,0,24.19642857,4.2,29.03571429,3.9,47.425,8.3,212.9285714,9.6,1.935714286,0.4,38.71428571,2.3,871.0714286,12,5.807142857,2,38.71428571,5,47.425,3,967.8571429,10.5,212.9285714,9.1,9.678571429,2.5,2.419642857,0.6
7,295,29.5,7.5,7.375,3.5,15.80357143,5.3,14.75,5.5,21.07142857,8.1,37.92857143,3.6,8.428571429,0,26.33928571,14.3,31.60714286,6,51.625,10.4,231.7857143,12.1,2.107142857,0.8,42.14285714,4.7,948.2142857,19.2,6.321428571,3.2,42.14285714,9.7,51.625,11.9,1053.571429,20.1,231.7857143,11.4,10.53571429,5.4,2.633928571,1
1,250,25,1.2,6.25,1.7,13.39285714,1.9,12.5,4.8,17.85714286,2.6,32.14285714,2.8,7.142857143,0,22.32142857,7.1,26.78571429,4.7,43.75,7.2,196.4285714,7.9,1.785714286,0.4,35.71428571,2.7,803.5714286,12.2,5.357142857,2.9,35.71428571,6.4,43.75,3.2,892.8571429,11.4,196.4285714,6.8,8.928571429,2.5,2.232142857,0.6
2,260,26,5.8,6.5,3.8,13.92857143,5.9,13,7.6,18.57142857,7.2,33.42857143,3.9,7.428571429,0,23.21428571,12.7,27.85714286,7.2,45.5,10.3,204.2857143,12.6,1.857142857,0.8,37.14285714,4.1,835.7142857,17.7,5.571428571,3.1,37.14285714,8.1,45.5,11.5,928.5714286,16.5,204.2857143,14.1,9.285714286,4.7,2.321428571,1
3,253,25.3,8.6,6.325,3.2,13.55357143,7.7,12.65,8,18.07142857,6.9,32.52857143,3.3,7.228571429,0,22.58928571,11.4,27.10714286,6.2,44.275,10.1,198.7857143,13.4,1.807142857,1.2,36.14285714,4.5,813.2142857,23.5,5.421428571,3.8,36.14285714,14.9,44.275,11.1,903.5714286,17.9,198.7857143,14.6,9.035714286,4.2,2.258928571,1
4,302,30.2,1.5,7.55,1,16.17857143,2.3,15.1,1.1,21.57142857,2.1,38.82857143,2.8,8.628571429,0,26.96428571,9,32.35714286,2.1,52.85,8.9,237.2857143,5.9,2.157142857,0.2,43.14285714,2,970.7142857,9,6.471428571,2.9,43.14285714,4,52.85,3.1,1078.571429,10.7,237.2857143,9.2,10.78571429,2.6,2.696428571,0.6
5,263,26.3,6.8,6.575,4.2,14.08928571,5.4,13.15,8.1,18.78571429,9.8,33.81428571,3,7.514285714,0,23.48214286,14,28.17857143,8.6,46.025,15.1,206.6428571,12,1.878571429,0.6,37.57142857,4.6,845.3571429,23.1,5.635714286,3.8,37.57142857,12,46.025,13,939.2857143,17.7,206.6428571,12.8,9.392857143,5.4,2.348214286,1
6,304,30.4,8.9,7.6,3,16.28571429,7.1,15.2,7.3,21.71428571,8.1,39.08571429,3.3,8.685714286,0,27.14285714,14.7,32.57142857,7.8,53.2,13,238.8571429,12.7,2.171428571,1.1,43.42857143,4.8,977.1428571,18,6.514285714,3.8,43.42857143,17.1,53.2,9.7,1085.714286,14.8,238.8571429,15.3,10.85714286,3.9,2.714285714,1
7,302,30.2,7.7,7.55,3.2,16.17857143,4.9,15.1,9.9,21.57142857,8.8,38.82857143,3.2,8.628571429,0,26.96428571,14.3,32.35714286,7,52.85,9.8,237.2857143,11.7,2.157142857,0.5,43.14285714,6.8,970.7142857,20.9,6.471428571,3.9,43.14285714,16.6,52.85,8.7,1078.571429,19.9,237.2857143,15.8,10.78571429,5.9,2.696428571,1
1,251,25.1,2.3,6.275,1.3,13.44642857,1.3,12.55,2.8,17.92857143,2.2,32.27142857,2.5,7.171428571,0,22.41071429,9.3,26.89285714,2.7,43.925,8.7,197.2142857,10.1,1.792857143,0.2,35.85714286,1.5,806.7857143,11.4,5.378571429,2.4,35.85714286,3.8,43.925,1.7,896.4285714,9.2,197.2142857,8,8.964285714,1.1,2.241071429,0
2,254,25.4,5.6,6.35,4.2,13.60714286,6.3,12.7,9.2,18.14285714,8.6,32.65714286,3.2,7.257142857,0,22.67857143,13.3,27.21428571,6.6,44.45,12.4,199.5714286,12.4,1.814285714,0.8,36.28571429,4.3,816.4285714,21.9,5.442857143,3,36.28571429,11.4,44.45,8.2,907.1428571,15,199.5714286,14.2,9.071428571,5.7,2.267857143,1
3,260,26,2.2,6.5,2.9,13.92857143,1.8,13,4.4,18.57142857,1.3,33.42857143,2.9,7.428571429,0,23.21428571,9.9,27.85714286,4.1,45.5,5.6,204.2857143,8.1,1.857142857,0.4,37.14285714,1.1,835.7142857,10.7,5.571428571,1.8,37.14285714,3.8,45.5,0,928.5714286,8.1,204.2857143,6.6,9.285714286,2.3,2.321428571,0.8
4,259,25.9,3.6,6.475,2.7,13.875,1.9,12.95,3.3,18.5,2.7,33.3,1.5,7.4,0,23.125,6.9,27.75,4.8,45.325,5.7,203.5,10.8,1.85,0.1,37,2.7,832.5,12.4,5.55,2,37,5.3,45.325,0.3,925,6.1,203.5,7.6,9.25,1.2,2.3125,0.6
5,274,27.4,7.1,6.85,4.2,14.67857143,4.9,13.7,6,19.57142857,8.2,35.22857143,3.6,7.828571429,0,24.46428571,11.1,29.35714286,7.4,47.95,11.1,215.2857143,11.8,1.957142857,1.2,39.14285714,4,880.7142857,25.8,5.871428571,3.3,39.14285714,16.3,47.95,13.9,978.5714286,19.3,215.2857143,11.5,9.785714286,3.1,2.446428571,1
6,268,26.8,5.1,6.7,4.5,14.35714286,5.4,13.4,8.9,19.14285714,8.5,34.45714286,3.5,7.657142857,0,23.92857143,13.5,28.71428571,8.3,46.9,13.1,210.5714286,12.6,1.914285714,0.9,38.28571429,4.2,861.4285714,20.2,5.742857143,3.6,38.28571429,15.1,46.9,13.6,957.1428571,18.3,210.5714286,12.9,9.571428571,4.3,2.392857143,1
7,284,28.4,5.5,7.1,3.4,15.21428571,7,14.2,9.9,20.28571429,6.6,36.51428571,3.8,8.114285714,0,25.35714286,14,30.42857143,8,49.7,12,223.1428571,11.8,2.028571429,1.1,40.57142857,6.4,912.8571429,17.7,6.085714286,3.5,40.57142857,10,49.7,8.7,1014.285714,20,223.1428571,12.7,10.14285714,5.8,2.535714286,1
1,259,25.9,8.1,6.475,4.8,13.875,4.8,12.95,6.2,18.5,8.8,33.3,3,7.4,0,23.125,11.8,27.75,6.1,45.325,15.3,203.5,11,1.85,0.6,37,4.9,832.5,23.9,5.55,3.2,37,9.5,45.325,12.5,925,14.8,203.5,12.4,9.25,4.1,2.3125,1
2,280,28,5.1,7,4.5,15,6,14,7.7,20,5.9,36,3.8,8,0,25,14,30,8.3,49,9,220,12.8,2,0.6,40,5.9,900,23.5,6,3,40,13.5,49,13.1,1000,21.9,220,13.7,10,5.5,2.5,1
3,250,25,7.9,6.25,4.3,13.39285714,8.2,12.5,6.9,17.85714286,8.6,32.14285714,3.8,7.142857143,0,22.32142857,14.4,26.78571429,7.1,43.75,12.1,196.4285714,12.6,1.785714286,0.5,35.71428571,6.3,803.5714286,25.6,5.357142857,3.7,35.71428571,9.8,43.75,12.8,892.8571429,17.8,196.4285714,14,8.928571429,5.2,2.232142857,1
4,268,26.8,5.9,6.7,4.9,14.35714286,4.5,13.4,8.7,19.14285714,9.2,34.45714286,3.9,7.657142857,0,23.92857143,11.3,28.71428571,6.8,46.9,15.3,210.5714286,13.3,1.914285714,0.9,38.28571429,5.5,861.4285714,22.6,5.742857143,3.1,38.28571429,16,46.9,14.5,957.1428571,18.3,210.5714286,15.1,9.571428571,4.8,2.392857143,1
5,295,29.5,6.2,7.375,3.7,15.80357143,4.9,14.75,9.8,21.07142857,9.5,37.92857143,3,8.428571429,0,26.33928571,13.9,31.60714286,8.8,51.625,12.4,231.7857143,13.8,2.107142857,1.1,42.14285714,5.5,948.2142857,19.5,6.321428571,3.1,42.14285714,18.4,51.625,13.9,1053.571429,18.3,231.7857143,13.2,10.53571429,5.1,2.633928571,1
6,305,30.5,2.7,7.625,2.8,16.33928571,3.6,15.25,2.8,21.78571429,1.5,39.21428571,1,8.714285714,0,27.23214286,9.2,32.67857143,3,53.375,6.7,239.6428571,4.3,2.178571429,0.4,43.57142857,3.4,980.3571429,10.7,6.535714286,1.8,43.57142857,7.1,53.375,5.6,1089.285714,9.7,239.6428571,10.5,10.89285714,2,2.723214286,0.8
